uniqueKey,ruleId,name,priority,category,executionCount,matchCount,errorCount,coverage
0-quzhi-ge,"quzhi-ge","曲直格",200,"专旺格",8000,3,0,YES
1-yanshang-ge,"yanshang-ge","炎上格",200,"专旺格",8000,2,0,YES
2-jiase-ge,"jiase-ge","稼穑格",200,"专旺格",8000,15,0,YES
3-congge-ge,"congge-ge","从革格",200,"专旺格",8000,3,0,YES
4-runxia-ge,"runxia-ge","润下格",200,"专旺格",8000,5,0,YES
5-cong-guansha-zhen,"cong-guansha-zhen","从官杀格",190,"从格",8000,1,0,YES
6-qiming-congsha,"qiming-congsha","弃命从杀",185,"从格",8000,0,0,NO
7-qiming-congguan,"qiming-congguan","弃命从官",185,"从格",8000,2,0,YES
8-cong-cai-zhen,"cong-cai-zhen","从财格",190,"从格",8000,1,0,YES
9-qiming-congcai,"qiming-congcai","弃命从财",185,"从格",8000,0,0,NO
10-cong-er-zhen,"cong-er-zhen","从儿格",185,"从格",8000,1,0,YES
11-cong-yin-zhen,"cong-yin-zhen","从印格",180,"从格",8000,1,0,YES
12-jia-cong,"jia-cong","假从格",170,"从格",8000,68,0,YES
13-hua-qi-ge,"hua-qi-ge","化气格",160,"化气格",8000,60,0,YES
14-tiao-hou-zuoyong,"tiao-hou-zuoyong","调候格",150,"调候格",8000,2702,0,YES
15-hannuan-zaoshi,"hannuan-zaoshi","寒暖燥湿格",145,"调候格",8000,2125,0,YES
16-bing-yao-ge,"bing-yao-ge","病药格",140,"病药格",8000,3402,0,YES
17-fu-yi-ge,"fu-yi-ge","扶抑格",130,"扶抑格",8000,4405,0,YES
18-tong-guan-ge,"tong-guan-ge","通关格",120,"通关格",8000,648,0,YES
19-zheng-guan-tou,"zheng-guan-tou","正官格",100,"正格",8000,785,0,YES
20-qi-sha-tou,"qi-sha-tou","七杀格",100,"正格",8000,805,0,YES
21-zheng-yin-tou,"zheng-yin-tou","正印格",100,"正格",8000,805,0,YES
22-pian-yin-tou,"pian-yin-tou","偏印格",100,"正格",8000,827,0,YES
23-shi-shen-tou,"shi-shen-tou","食神格",100,"正格",8000,804,0,YES
24-shang-guan-tou,"shang-guan-tou","伤官格",100,"正格",8000,766,0,YES
25-zheng-cai-tou,"zheng-cai-tou","正财格",100,"正格",8000,817,0,YES
26-pian-cai-tou,"pian-cai-tou","偏财格",100,"正格",8000,814,0,YES
27-bi-jian-tou,"bi-jian-tou","比肩格",95,"正格",8000,791,0,YES
28-jie-cai-tou,"jie-cai-tou","劫财格",95,"正格",8000,786,0,YES
29-zhengguan-shangge,"zhengguan-shangge","正官上格",99,"正格成格",8000,13,0,YES
30-zhengguan-zhongge,"zhengguan-zhongge","正官中格",98,"正格成格",8000,783,0,YES
31-qisha-shangge,"qisha-shangge","七杀上格",99,"正格成格",8000,451,0,YES
32-qisha-zhongge,"qisha-zhongge","七杀中格",98,"正格成格",8000,796,0,YES
33-zhengyin-shangge,"zhengyin-shangge","正印上格",99,"正格成格",8000,297,0,YES
34-shishen-shangge,"shishen-shangge","食神上格",99,"正格成格",8000,311,0,YES
35-shangguan-shangge,"shangguan-shangge","伤官上格",99,"正格成格",8000,288,0,YES
36-zhengcai-shangge,"zhengcai-shangge","正财上格",99,"正格成格",8000,156,0,YES
37-piancai-shangge,"piancai-shangge","偏财上格",99,"正格成格",8000,315,0,YES
38-zhengguan-poge-guanke,"zhengguan-poge-guanke","正官破格-官被克",92,"破格",8000,162,0,YES
39-zhengguan-poge-qisya,"zhengguan-poge-qisya","正官破格-七杀混杂",92,"破格",8000,156,0,YES
40-qisha-poge-wuzhi,"qisha-poge-wuzhi","七杀破格-无制",92,"破格",8000,338,0,YES
41-qisha-poge-yinshang,"qisha-poge-yinshang","七杀破格-印被财破",88,"破格",8000,21,0,YES
42-cai-poge-jiecai,"cai-poge-jiecai","财格破格-劫财分财",88,"破格",8000,319,0,YES
43-yin-poge-caixin,"yin-poge-caixin","印格破格-财星破印",88,"破格",8000,635,0,YES
44-shishen-poge-xiaoshen,"shishen-poge-xiaoshen","食神破格-枭神夺食",92,"破格",8000,154,0,YES
45-shishen-poge-shangguan,"shishen-poge-shangguan","食神破格-伤官见官",92,"破格",8000,8,0,YES
46-shangguan-poge-guansha,"shangguan-poge-guansha","伤官破格-无财通关",88,"破格",8000,93,0,YES
47-zhengguan-chengge-wugen,"zhengguan-chengge-wugen","正官成格-官有根",220,"正格成格",8000,301,0,YES
48-qisha-chengge-youzhi,"qisha-chengge-youzhi","七杀成格-杀有制",220,"正格成格",8000,467,0,YES
49-shishen-chengge-wuxie,"shishen-chengge-wuxie","食神成格-食神无邪",220,"正格成格",8000,491,0,YES
50-cai-chengge-caiyouli,"cai-chengge-caiyouli","财格成格-财星有力",220,"正格成格",8000,649,0,YES
51-guanyin-xiangsheng,"guanyin-xiangsheng","官印相生",218,"正格成格",8000,153,0,YES
52-guancai-xiangsheng,"guancai-xiangsheng","官财相生",216,"正格成格",8000,303,0,YES
53-guanxing-duqing,"guanxing-duqing","官星独清",214,"正格成格",8000,481,0,YES
54-zhen-guan-ge,"zhen-guan-ge","真官格",212,"正格成格",8000,34,0,YES
55-guansha-hunza,"guansha-hunza","官杀混杂",210,"破格",8000,340,0,YES
56-guanzhong-shenqing,"guanzhong-shenqing","官重身轻",208,"破格",8000,301,0,YES
57-guanqing-yinzhong,"guanqing-yinzhong","官轻印重",206,"破格",8000,2,0,YES
58-zhen-qisha-ge,"zhen-qisha-ge","真七杀格",204,"正格成格",8000,104,0,YES
59-shayin-xiangsheng,"shayin-xiangsheng","杀印相生",202,"正格成格",8000,323,0,YES
60-zhen-shishen-ge,"zhen-shishen-ge","真食神格",200,"正格成格",8000,311,0,YES
61-zhen-shangguan-ge,"zhen-shangguan-ge","真伤官格",198,"正格成格",8000,294,0,YES
62-zhen-cai-ge,"zhen-cai-ge","真财格",196,"正格成格",8000,584,0,YES
63-zhen-zhengyin-ge,"zhen-zhengyin-ge","真正印格",194,"正格成格",8000,297,0,YES
64-zhen-pianyin-ge,"zhen-pianyin-ge","真偏印格",193,"正格成格",8000,286,0,YES
65-zhen-bijian-ge,"zhen-bijian-ge","真比肩格",192,"正格成格",8000,161,0,YES
66-geju-gao-wanzheng,"geju-gao-wanzheng","格局高-完美成格",80,"格局层次",8000,1602,0,YES
67-geju-gao-tiaohou,"geju-gao-tiaohou","格局高-调候为急",80,"格局层次",8000,1628,0,YES
68-geju-chenggong,"geju-chenggong","格局成-用神有力",75,"格局层次",8000,4598,0,YES
69-geju-bai,"geju-bai","格局败-偏枯太重",75,"格局层次",8000,1453,0,YES
70-qingcun-zhenguan,"qingcun-zhenguan","清纯-官星清",70,"清纯判断",8000,629,0,YES
71-qingcun-shishen,"qingcun-shishen","清纯-食神清",70,"清纯判断",8000,491,0,YES
72-feitian-luma,"feitian-luma","飞天禄马",180,"特殊格局",8000,0,0,NO
73-jinshen-ge,"jinshen-ge","金神格",170,"特殊格局",8000,21,0,YES
74-kuigang-ge,"kuigang-ge","魁罡格",175,"特殊格局",8000,50,0,YES
75-liuyi-shugui,"liuyi-shugui","六乙鼠贵格",175,"特殊格局",8000,23,0,YES
76-renqi-longbei,"renqi-longbei","壬骑龙背格",175,"特殊格局",8000,11,0,YES
77-liuyin-chaoyang,"liuyin-chaoyang","六阴朝阳格",175,"特殊格局",8000,10,0,YES
78-liujia-quqian,"liujia-quqian","六甲趋乾格",175,"特殊格局",8000,18,0,YES
79-jinglan-cha,"jinglan-cha","井栏叉格",170,"特殊格局",8000,1,0,YES
80-daochong-ge,"daochong-ge","倒冲格",170,"特殊格局",8000,7,0,YES
81-tianyuan-yiqi,"tianyuan-yiqi","天元一气",175,"特殊格",8000,3,0,YES
82-diyuan-yiqi,"diyuan-yiqi","地元一气",172,"特殊格",8000,2,0,YES
83-liangshen-chengxiang,"liangshen-chengxiang","两神成象",168,"特殊格",8000,0,0,NO
84-sanqi-guiren,"sanqi-guiren","三奇贵人",165,"特殊格",8000,374,0,YES
85-jinbai-shuiqing,"jinbai-shuiqing","金白水清",162,"特殊格",8000,0,0,NO
86-muhuo-tongming,"muhuo-tongming","木火通明",160,"特殊格",8000,0,0,NO
87-shuihuo-jiji,"shuihuo-jiji","水火既济",158,"特殊格",8000,0,0,NO
88-huotu-chengci,"huotu-chengci","火土成慈",156,"特殊格",8000,0,0,NO
89-jinhan-shuiling,"jinhan-shuiling","金寒水冷",154,"特殊格",8000,0,0,NO
90-caiguan-shuangmei,"caiguan-shuangmei","财官双美",152,"特殊格",8000,2023,0,YES
91-shayin-shuangqing,"shayin-shuangqing","杀印双清",150,"特殊格",8000,323,0,YES
92-shishen-zhisha,"shishen-zhisha","食神制杀",148,"特殊格",8000,345,0,YES
93-shangguan-peiyin,"shangguan-peiyin","伤官佩印",146,"特殊格",8000,670,0,YES
94-liuxiu-ri,"liuxiu-ri","六秀日",120,"特殊格",8000,103,0,YES
95-shiling-ri,"shiling-ri","十灵日",118,"特殊格",8000,162,0,YES
96-siwei-chunquan,"siwei-chunquan","四位纯全",116,"特殊格",8000,7,0,YES
97-tiangan-shunshi,"tiangan-shunshi","天干顺食",114,"特殊格",8000,17,0,YES
98-liangqi-chengxiang,"liangqi-chengxiang","两气成象",112,"特殊格",8000,0,0,NO
99-shishen-shengcai,"shishen-shengcai","食神生财",110,"特殊格",8000,318,0,YES
100-shangguan-shengcai,"shangguan-shengcai","伤官生财",108,"特殊格",8000,299,0,YES
101-yinlai-shasheng,"yinlai-shasheng","印赖杀生",104,"特殊格",8000,324,0,YES
102-shangguan-jianguan,"shangguan-jianguan","伤官见官",102,"破格",8000,344,0,YES
103-xiaoshen-duoshi,"xiaoshen-duoshi","枭神夺食",100,"破格",8000,154,0,YES
104-tiangan-yiqi,"tiangan-yiqi","天干一气",98,"特殊格",8000,3,0,YES
105-dizhi-yiqi,"dizhi-yiqi","地支一气",96,"特殊格",8000,2,0,YES
106-tiandi-dehe,"tiandi-dehe","天地德合",94,"特殊格",8000,14,0,YES
107-fude-xiuxiu,"fude-xiuxiu","福德秀气",92,"特殊格",8000,185,0,YES
108-zhen-cong-guansha,"zhen-cong-guansha","真从官杀格",195,"从格",8000,0,0,NO
109-jia-cong-guansha,"jia-cong-guansha","假从官杀格",188,"从格",8000,8,0,YES
110-zhen-cong-cai,"zhen-cong-cai","真从财格",195,"从格",8000,4,0,YES
111-jia-cong-cai,"jia-cong-cai","假从财格",188,"从格",8000,13,0,YES
112-zhen-cong-er,"zhen-cong-er","真从儿格",195,"从格",8000,1,0,YES
113-jia-cong-er,"jia-cong-er","假从儿格",188,"从格",8000,7,0,YES
114-ban-cong,"ban-cong","半从格",165,"从格",8000,896,0,YES
115-cong-er-bucong,"cong-er-bucong","从而不从格",160,"从格",8000,444,0,YES
116-zhen-cong-shi,"zhen-cong-shi","真从势格",158,"从格",8000,0,0,NO
117-jia-cong-shi,"jia-cong-shi","假从势格",155,"从格",8000,10,0,YES
118-zhen-cong-qiang,"zhen-cong-qiang","真从强格",153,"从格",8000,5,0,YES
119-jia-cong-qiang,"jia-cong-qiang","假从强格",150,"从格",8000,41,0,YES
120-cong-wang,"cong-wang","从旺格",148,"从格",8000,300,0,YES
121-ban-cong-yin,"ban-cong-yin","半从印格",146,"从格",8000,4,0,YES
122-jia-cong-yin,"jia-cong-yin","假从印格",144,"从格",8000,19,0,YES
123-zhen-cong-sha,"zhen-cong-sha","真从杀格",142,"从格",8000,0,0,NO
124-congge-poge,"congge-poge","从格破格",140,"破格",8000,477,0,YES
125-jia-zhuanwang,"jia-zhuanwang","假专旺格",195,"专旺格",8000,14,0,YES
126-jiaji-huatu,"jiaji-huatu","甲己化土格",192,"化气格",8000,100,0,YES
127-yigeng-huajin,"yigeng-huajin","乙庚化金格",192,"化气格",8000,117,0,YES
128-bingxin-huashui,"bingxin-huashui","丙辛化水格",192,"化气格",8000,126,0,YES
129-dingren-huamu,"dingren-huamu","丁壬化木格",192,"化气格",8000,113,0,YES
130-wugui-huahuo,"wugui-huahuo","戊癸化火格",192,"化气格",8000,119,0,YES
131-hanming-tiaohou,"hanming-tiaohou","寒命调候格",175,"调候格",8000,0,0,NO
132-nuanming-tiaohou,"nuanming-tiaohou","暖命调候格",175,"调候格",8000,0,0,NO
133-bingzhong-yaoqing,"bingzhong-yaoqing","病重药轻格",160,"病药格",8000,1545,0,YES
134-bingyao-xiangji,"bingyao-xiangji","病药相济格",160,"病药格",8000,2482,0,YES
135-guansha-tongguan,"guansha-tongguan","官杀通关格",165,"通关格",8000,153,0,YES
136-bijie-tongguan,"bijie-tongguan","比劫通关格",165,"通关格",8000,4086,0,YES
137-zhengguan-poge-hunza,"zhengguan-poge-hunza","正官破格-官杀混杂",95,"破格",8000,156,0,YES
138-cai-poge-hunza,"cai-poge-hunza","财格破格-财星混杂",88,"破格",8000,317,0,YES
139-yin-poge-hunza,"yin-poge-hunza","印格破格-印星混杂",88,"破格",8000,314,0,YES
140-geju-shangdeng,"geju-shangdeng","格局上等",80,"格局层次",8000,93,0,YES
141-geju-zhongdeng,"geju-zhongdeng","格局中等",70,"格局层次",8000,3395,0,YES
142-geju-xiadeng,"geju-xiadeng","格局下等",60,"格局层次",8000,1545,0,YES
143-fuyi-fushen,"fuyi-fushen","扶抑格-扶身",130,"扶抑格",8000,1520,0,YES
144-fuyi-yixie,"fuyi-yixie","扶抑格-抑泄",130,"扶抑格",8000,331,0,YES
145-cong-yin-zhen,"cong-yin-zhen","真从印格",190,"从格",8000,1,0,YES
146-zhuānwàng-gé,"zhuānwàng-gé","专旺格-纯",205,"专旺格",8000,111,0,YES
147-qingcun-cai,"qingcun-cai","清纯-财星清",70,"清纯判断",8000,1312,0,YES
148-geju-wanzhong,"geju-wanzhong","格局万终-用神溃散",50,"格局层次",8000,164,0,YES
149-default-putong,"default-putong","普通格局",1,"正格",8000,8000,0,YES